City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,kamakwie,9.5,-12.2333,300.59,67,67,1.54,SL,2023-11-27 20:08:12
69,jamestown,42.097,-79.2353,273.92,70,70,8.75,US,2023-11-27 20:08:12
70,ushuaia,-54.8,-68.3,285.94,58,58,3.87,AR,2023-11-27 20:05:25
71,dutsen wai,10.8501,8.199,297.42,27,27,3.02,NG,2023-11-27 20:08:12
72,dzhetygara,52.1908,61.2006,273.03,89,89,3.62,KZ,2023-11-27 20:08:13
73,karasu mahallesi,41.071,30.7854,276.9,68,68,3.98,TR,2023-11-27 20:08:13
74,khandyga,62.6667,135.6,241.14,96,96,0.43,RU,2023-11-27 20:08:13
75,camana,-16.6228,-72.7111,295.15,69,69,4.05,PE,2023-11-27 20:08:13
76,rong kwang,18.339,100.3174,292.51,89,89,1.21,TH,2023-11-27 20:08:13
77,invercargill,-46.4,168.35,288.16,92,92,2.24,NZ,2023-11-27 20:03:50
78,port isabel,26.0734,-97.2086,289.3,77,77,6.17,US,2023-11-27 20:08:13
79,lebu,-37.6167,-73.65,287.81,82,82,3.11,CL,2023-11-27 20:08:14
80,duluth,46.7833,-92.1066,264.98,58,58,11.32,US,2023-11-27 20:08:14
81,breyten,-26.3018,29.987,292.35,73,73,0.89,ZA,2023-11-27 20:08:14
82,sorrento,40.626,14.3744,286.07,94,94,1.34,IT,2023-11-27 20:08:14
83,pirallahi,40.4723,50.333,285.23,63,63,15.18,AZ,2023-11-27 20:08:14
84,dongola,19.1667,30.4833,297.27,18,18,8.03,SD,2023-11-27 20:08:14
85,mishan,45.55,131.8833,259.33,89,89,4.48,CN,2023-11-27 20:08:14
86,port elizabeth,-33.918,25.5701,291.1,91,91,0.45,ZA,2023-11-27 20:04:59
87,kone,-21.0595,164.8658,297.08,72,72,1.63,NC,2023-11-27 20:08:14
88,sundsvall,62.3913,17.3063,263.13,79,79,7.72,SE,2023-11-27 20:06:56
89,port alfred,-33.5906,26.891,292.14,95,95,0.42,ZA,2023-11-27 20:08:15
90,kodiak,57.79,-152.4072,276.88,60,60,0.0,US,2023-11-27 20:08:15
91,saldanha,-33.0117,17.9442,291.17,92,92,7.54,ZA,2023-11-27 20:08:15
92,shalqar,47.8333,59.6,280.15,61,61,5.59,KZ,2023-11-27 20:08:15
93,linxia chengguanzhen,35.6003,103.2064,274.27,45,45,0.34,CN,2023-11-27 20:08:15
94,lompoc,34.6391,-120.4579,294.7,25,25,5.14,US,2023-11-27 20:08:15
95,malpica,43.3228,-8.8105,286.69,83,83,2.68,ES,2023-11-27 20:08:15
96,bilibino,68.0546,166.4372,256.76,98,98,2.26,RU,2023-11-27 20:08:15
97,longyearbyen,78.2186,15.6401,277.06,75,75,8.23,SJ,2023-11-27 20:04:13
98,kapuskasing,49.4169,-82.4331,263.2,73,73,5.14,CA,2023-11-27 20:08:16
99,"laikit, laikit ii (dimembe)",1.4792,124.9735,294.62,100,100,1.03,ID,2023-11-27 20:08:16
100,ungsang-nodongjagu,42.3578,130.4622,267.44,56,56,9.35,KP,2023-11-27 20:08:16
101,darwin,-12.4611,130.8418,299.14,93,93,0.0,AU,2023-11-27 20:08:16
102,nuuk,64.1835,-51.7216,270.49,86,86,9.77,GL,2023-11-27 20:08:16
103,atafu village,-8.5421,-172.5159,302.02,77,77,3.96,TK,2023-11-27 20:08:16
104,tazovsky,67.4667,78.7,251.22,100,100,2.74,RU,2023-11-27 20:04:45
105,weno,7.4515,151.8468,302.12,84,84,4.63,FM,2023-11-27 20:08:16
106,derry,54.9981,-7.3093,280.0,81,81,2.06,GB,2023-11-27 20:08:17
107,kalemie,-5.9475,29.1947,294.2,91,91,2.27,CD,2023-11-27 20:08:17
108,isafjordur,66.0755,-23.124,275.94,92,92,2.53,IS,2023-11-27 20:08:17
109,dali,25.7,100.1833,281.84,83,83,0.45,CN,2023-11-27 20:08:17
110,pourham,14.35,-16.4167,298.75,36,36,4.14,SN,2023-11-27 20:08:17
111,tindouf,27.6711,-8.1474,289.86,16,16,1.84,DZ,2023-11-27 20:08:17
112,whitehorse,60.7161,-135.0538,270.15,91,91,3.86,CA,2023-11-27 20:08:17
113,mejit,10.2753,170.8646,300.68,78,78,9.9,MH,2023-11-27 20:08:17
114,awjilah,29.1081,21.2869,288.11,41,41,3.71,LY,2023-11-27 20:08:17
115,milici,44.1711,19.0903,278.8,67,67,3.89,BA,2023-11-27 20:08:18
116,yichun,47.7,128.9,256.42,97,97,1.46,CN,2023-11-27 20:08:18
117,port mathurin,-19.6833,63.4167,297.78,73,73,4.62,MU,2023-11-27 20:08:18
118,kon tum,14.35,108.0,288.36,93,93,1.46,VN,2023-11-27 20:08:18
119,phang nga,8.4509,98.5298,298.17,93,93,2.9,TH,2023-11-27 20:08:18
120,lerwick,60.1545,-1.1494,279.15,60,60,9.07,GB,2023-11-27 20:03:34
121,ancud,-41.8697,-73.8203,286.06,84,84,6.96,CL,2023-11-27 20:08:18
122,badger,64.8,-147.5333,267.24,87,87,0.0,US,2023-11-27 20:08:18
